comments,duration,ratings,tags,views
4553,1164,"[{""id"": 7, ""name"": ""Funny"", ""count"": 19645}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 4573}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 6073}, {""id"": 3, ""name"": ""Courageous"", ""count"": 3253}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 387}, {""id"": 2, ""name"": ""Confusing"", ""count"": 242}, {""id"": 8, ""name"": ""Informative"", ""count"": 7346}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 10581}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 300}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 10704}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 4439}, {""id"": 25, ""name"": ""OK"", ""count"": 1174}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 209}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 24924}]","[""children"", ""creativity"", ""culture"", ""dance"", ""education"", ""parenting"", ""teaching""]",47227110
2290,1262,"[{""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 3586}, {""id"": 8, ""name"": ""Informative"", ""count"": 9787}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 11111}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 6217}, {""id"": 3, ""name"": ""Courageous"", ""count"": 6305}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 1428}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 21210}, {""id"": 25, ""name"": ""OK"", ""count"": 1129}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 3232}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 155}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 338}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 335}, {""id"": 7, ""name"": ""Funny"", ""count"": 938}, {""id"": 2, ""name"": ""Confusing"", ""count"": 197}]","[""body language"", ""brain"", ""business"", ""psychology"", ""self"", ""success""]",43155405
1930,1084,"[{""id"": 21, ""name"": ""Unconvincing"", ""count"": 930}, {""id"": 25, ""name"": ""OK"", ""count"": 1341}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 390}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 8845}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 21564}, {""id"": 8, ""name"": ""Informative"", ""count"": 6600}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 3413}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 7440}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 2659}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 294}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 1640}, {""id"": 3, ""name"": ""Courageous"", ""count"": 1161}, {""id"": 2, ""name"": ""Confusing"", ""count"": 112}, {""id"": 7, ""name"": ""Funny"", ""count"": 390}]","[""TEDx"", ""business"", ""entrepreneur"", ""leadership"", ""success""]",34309432
1927,1219,"[{""id"": 10, ""name"": ""Inspiring"", ""count"": 21444}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 2100}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 7942}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 4638}, {""id"": 3, ""name"": ""Courageous"", ""count"": 8280}, {""id"": 8, ""name"": ""Informative"", ""count"": 4561}, {""id"": 7, ""name"": ""Funny"", ""count"": 5225}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 3510}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 1094}, {""id"": 25, ""name"": ""OK"", ""count"": 500}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 233}, {""id"": 2, ""name"": ""Confusing"", ""count"": 155}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 113}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 283}]","[""TEDx"", ""communication"", ""culture"", ""depression"", ""fear"", ""mental health"", ""psychology"", ""self"", ""social change""]",31168150
354,1003,"[{""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 363}, {""id"": 7, ""name"": ""Funny"", ""count"": 4166}, {""id"": 3, ""name"": ""Courageous"", ""count"": 519}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 1752}, {""id"": 8, ""name"": ""Informative"", ""count"": 2231}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 100}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 345}, {""id"": 25, ""name"": ""OK"", ""count"": 715}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 184}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 212}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 154}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 209}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 213}, {""id"": 2, ""name"": ""Confusing"", ""count"": 110}]","[""books"", ""culture"", ""history"", ""humor"", ""science"", ""sex"", ""writing""]",22270883
297,598,"[{""id"": 24, ""name"": ""Persuasive"", ""count"": 2678}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 4133}, {""id"": 8, ""name"": ""Informative"", ""count"": 5167}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 1801}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 697}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 735}, {""id"": 25, ""name"": ""OK"", ""count"": 650}, {""id"": 7, ""name"": ""Funny"", ""count"": 810}, {""id"": 3, ""name"": ""Courageous"", ""count"": 270}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 48}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 152}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 153}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 43}, {""id"": 2, ""name"": ""Confusing"", ""count"": 49}]","[""culture"", ""sound"", ""speech""]",21594632
2877,1099,"[{""id"": 22, ""name"": ""Fascinating"", ""count"": 14447}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 16918}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 10464}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 9437}, {""id"": 3, ""name"": ""Courageous"", ""count"": 7842}, {""id"": 7, ""name"": ""Funny"", ""count"": 966}, {""id"": 8, ""name"": ""Informative"", ""count"": 5430}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 356}, {""id"": 2, ""name"": ""Confusing"", ""count"": 289}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 1704}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 1228}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 550}, {""id"": 25, ""name"": ""OK"", ""count"": 636}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 398}]","[""biology"", ""brain"", ""consciousness"", ""global issues"", ""illness"", ""science""]",21190883
672,1305,"[{""id"": 7, ""name"": ""Funny"", ""count"": 1102}, {""id"": 3, ""name"": ""Courageous"", ""count"": 721}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 377}, {""id"": 2, ""name"": ""Confusing"", ""count"": 301}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 706}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 397}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 285}, {""id"": 8, ""name"": ""Informative"", ""count"": 1038}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 5211}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 1350}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 2423}, {""id"": 25, ""name"": ""OK"", ""count"": 441}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 669}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 335}]","[""business"", ""culture"", ""entertainment"", ""goal-setting"", ""motivation"", ""potential"", ""psychology""]",20685401
150,588,"[{""id"": 7, ""name"": ""Funny"", ""count"": 7731}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 1766}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 939}, {""id"": 8, ""name"": ""Informative"", ""count"": 401}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 221}, {""id"": 3, ""name"": ""Courageous"", ""count"": 240}, {""id"": 25, ""name"": ""OK"", ""count"": 143}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 229}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 45}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 63}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 60}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 417}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 91}, {""id"": 2, ""name"": ""Confusing"", ""count"": 20}]","[""comedy"", ""communication"", ""curiosity"", ""humor"", ""technology""]",20475972
846,577,"[{""id"": 11, ""name"": ""Longwinded"", ""count"": 92}, {""id"": 2, ""name"": ""Confusing"", ""count"": 124}, {""id"": 25, ""name"": ""OK"", ""count"": 612}, {""id"": 8, ""name"": ""Informative"", ""count"": 986}, {""id"": 3, ""name"": ""Courageous"", ""count"": 2306}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 1617}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 497}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 924}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 632}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 119}, {""id"": 7, ""name"": ""Funny"", ""count"": 302}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 77}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 231}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 101}]","[""TEDx"", ""beauty"", ""culture"", ""fashion"", ""photography""]",19787465
